dataset,model,strategy,avg_batch_accuracy,std_batch_accuracy,avg_recovery_time,num_retraining_events,total_retraining_data
electricity,logistic_regression,no_retraining,0.720944,0.106366,3.25,0.0,0.0
electricity,logistic_regression,continuous,0.738361,0.099858,2.2941,72.0,1962000.0
electricity,logistic_regression,cumulative,0.737556,0.097551,3.3333,43.0,860000.0
electricity,logistic_regression,sliding_window,0.744,0.088788,2.3333,42.0,105000.0
electricity,logistic_regression,exponential_decay,0.746833,0.0838,2.0625,38.0,712500.0
electricity,xgboost,no_retraining,0.72525,0.103189,2.5333,0.0,0.0
electricity,xgboost,continuous,0.744167,0.083428,1.6957,72.0,1962000.0
electricity,xgboost,cumulative,0.736611,0.08019,2.2222,51.0,1122000.0
electricity,xgboost,sliding_window,0.751556,0.076739,1.3929,67.0,167500.0
electricity,xgboost,exponential_decay,0.749333,0.077994,1.2333,66.0,1699500.0
electricity_gradual_concept,logistic_regression,no_retraining,0.907972,0.04937,1.0,0.0,0.0
electricity_gradual_concept,logistic_regression,continuous,0.932972,0.026569,1.25,72.0,1962000.0
electricity_gradual_concept,logistic_regression,cumulative,0.927028,0.027457,1.25,13.0,162500.0
electricity_gradual_concept,logistic_regression,sliding_window,0.940667,0.019771,0.6667,3.0,7500.0
electricity_gradual_concept,logistic_regression,exponential_decay,0.938667,0.02054,0.6667,3.0,30000.0
electricity_gradual_concept,xgboost,no_retraining,0.910889,0.047304,1.5,0.0,0.0
electricity_gradual_concept,xgboost,continuous,0.9345,0.025055,1.0,72.0,1962000.0
electricity_gradual_concept,xgboost,cumulative,0.929722,0.026007,1.2857,9.0,103500.0
electricity_gradual_concept,xgboost,sliding_window,0.941472,0.017311,0.25,4.0,10000.0
electricity_gradual_concept,xgboost,exponential_decay,0.941278,0.016718,0.1,10.0,117500.0
electricity_abrupt_concept,logistic_regression,no_retraining,0.843222,0.091156,24.0,0.0,0.0
electricity_abrupt_concept,logistic_regression,continuous,0.864417,0.090671,11.5,72.0,1962000.0
electricity_abrupt_concept,logistic_regression,cumulative,0.870694,0.08852,7.4,40.0,770000.0
electricity_abrupt_concept,logistic_regression,sliding_window,0.919056,0.090665,1.7778,17.0,42500.0
electricity_abrupt_concept,logistic_regression,exponential_decay,0.919944,0.071835,1.5,12.0,147000.0
electricity_abrupt_concept,xgboost,no_retraining,0.847861,0.086716,24.0,0.0,0.0
electricity_abrupt_concept,xgboost,continuous,0.901583,0.066506,5.4,72.0,1962000.0
electricity_abrupt_concept,xgboost,cumulative,0.905361,0.058743,4.0,28.0,455000.0
electricity_abrupt_concept,xgboost,sliding_window,0.922333,0.083665,1.4,16.0,40000.0
electricity_abrupt_concept,xgboost,exponential_decay,0.923278,0.060269,1.0,16.0,212000.0
