dataset,model,strategy,avg_batch_accuracy,std_batch_accuracy,avg_recovery_time,avg_recovery_gain,total_retraining_data,avg_retraining_data_per_event
electricity,logistic_regression,cumulative,0.737556,0.097551,3.3333,0.013302,860000.0,20000.0
electricity,logistic_regression,exponential_decay,0.746833,0.0838,2.0625,0.027,712500.0,18750.0
electricity,logistic_regression,sliding_window,0.744,0.088788,2.3333,0.033381,105000.0,2500.0
electricity,xgboost,cumulative,0.736611,0.08019,2.2222,0.152039,1122000.0,22000.0
electricity,xgboost,exponential_decay,0.749333,0.077994,1.2333,0.197545,1699500.0,25750.0
electricity,xgboost,sliding_window,0.751556,0.076739,1.3929,0.21406,167500.0,2500.0
electricity_abrupt_concept,logistic_regression,cumulative,0.870694,0.08852,7.4,0.0148,770000.0,19250.0
electricity_abrupt_concept,logistic_regression,exponential_decay,0.919944,0.071835,1.5,0.102,147000.0,12250.0
electricity_abrupt_concept,logistic_regression,sliding_window,0.919056,0.090665,1.7778,0.098118,42500.0,2500.0
electricity_abrupt_concept,xgboost,cumulative,0.905361,0.058743,4.0,0.0385,455000.0,16250.0
electricity_abrupt_concept,xgboost,exponential_decay,0.923278,0.060269,1.0,0.112125,212000.0,13250.0
electricity_abrupt_concept,xgboost,sliding_window,0.922333,0.083665,1.4,0.135,40000.0,2500.0
electricity_gradual_concept,logistic_regression,cumulative,0.927028,0.027457,1.25,0.003692,162500.0,12500.0
electricity_gradual_concept,logistic_regression,exponential_decay,0.938667,0.02054,0.6667,0.04,30000.0,10000.0
electricity_gradual_concept,logistic_regression,sliding_window,0.940667,0.019771,0.6667,0.033333,7500.0,2500.0
electricity_gradual_concept,xgboost,cumulative,0.929722,0.026007,1.2857,0.030222,103500.0,11500.0
electricity_gradual_concept,xgboost,exponential_decay,0.941278,0.016718,0.1,0.0584,117500.0,11750.0
electricity_gradual_concept,xgboost,sliding_window,0.941472,0.017311,0.25,0.06,10000.0,2500.0
